tsne-2d-one,tsne-2d-two,cluster
-51.32733,5.4595356,4
25.95231,-3.1149058,0
-24.020752,-16.313372,1
-40.290512,-18.232962,1
24.867144,-12.207118,2
-49.397675,-8.118794,4
-37.24815,9.091888,1
-52.984417,-10.809033,4
71.08158,3.3531373,0
-61.859756,6.150815,4
19.859333,18.329885,2
49.78134,-8.225207,3
-50.48334,-19.876656,1
61.166668,16.3125,0
10.99771,28.809744,1
4.0410314,-18.33936,2
-52.83119,2.3016722,4
28.408762,-28.920303,2
30.491095,-23.633736,3
-28.174446,-1.8205187,1
6.094833,-16.549652,2
26.657524,-13.796233,2
41.679222,5.7426124,0
38.86525,2.3215265,0
-31.459848,-10.466538,1
-30.100279,-31.284119,2
-16.727224,-11.370805,2
24.77661,-29.757952,2
29.347075,18.957308,0
-20.055342,-17.14907,1
-45.275536,-0.52143186,1
-50.068718,-8.695912,4
70.451454,14.618665,0
-4.7001486,4.9722385,1
-26.34935,-11.71512,1
-38.386337,-17.29597,2
-31.25858,14.60632,1
-11.879978,-10.288799,1
37.809948,0.82356757,0
61.47613,11.977028,0
-6.4034166,16.809395,3
-1.7971884,-0.2860554,3
8.18633,-44.952442,2
-11.1064005,-11.887803,2
-35.084583,-8.159446,1
-10.078498,15.58174,3
-50.315178,-12.533256,4
70.84062,7.531413,0
13.182212,-25.356121,2
-54.310104,-11.013141,4
28.770592,-27.689362,2
0.095660724,6.396164,3
44.508915,8.885228,0
7.654496,17.574247,3
-33.078693,28.910194,3
18.250671,23.74535,3
-50.431427,-11.400998,4
-32.43254,25.677542,1
-32.239857,-30.74231,1
59.662132,10.471815,0
37.82978,4.756097,0
39.60418,1.6481055,0
-28.32948,8.639499,1
-47.789097,-6.1896167,4
-36.828766,-23.013512,1
15.124919,-4.315662,2
3.8675122,41.931778,3
-47.74787,-10.369622,4
-42.887527,-19.013622,4
0.71140134,-43.86964,2
-3.6522162,-0.36363515,2
60.855003,9.039554,0
-36.098923,1.5498258,1
-25.372997,-15.185119,1
-17.984777,-3.9361823,1
-27.135948,-5.948674,1
-54.113792,-9.226058,4
-61.994003,13.858929,4
2.291148,5.938503,3
-48.261032,-12.036529,4
-5.062255,-0.07788374,1
-24.399305,-18.740786,2
-41.186916,-6.8549147,1
37.310364,2.9281309,0
36.29002,-11.163653,0
16.294569,3.2646172,3
-51.73741,-2.8048334,4
-2.4111724,-28.561733,2
-7.8764987,-26.2115,1
-9.850266,1.4158207,3
13.192093,-19.823015,2
-42.242767,-27.299603,2
